"filename", "language", "JSON", "SQL", "JSON with Comments", "TypeScript", "JavaScript", "HTML", "CSS", "Markdown", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 14, 28
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\angular.json", "JSON", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 116
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\package-lock.json", "JSON", 23236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23237
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\AutentucacionCas\CasClient.ts", "TypeScript", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 6, 25, 164
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\AutentucacionCas\CasClientUser.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\AutentucacionCas\http.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\AutentucacionCas\http.service.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 6, 30
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-admin-convenios\pg-admin-convenios.component.css", "CSS", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 2, 38, 183
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-admin-convenios\pg-admin-convenios.component.html", "HTML", 0, 0, 0, 0, 0, 300, 0, 0, 0, 0, 1, 98, 399
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-admin-convenios\pg-admin-convenios.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
